Goalkeeper name,Team,Confederation,Minutes played,Shots on target faced,Saves
Unai Simón,Spain,UEFA,750,11,10
Mike Maignan,France,UEFA,720,23,13
Diogo Costa,Portugal,UEFA,450,22,19
Jordan Pickford,England,UEFA,660,23,15
Gregor Kobel,Switzerland,UEFA,600,26,20
Bart Verbruggen,Netherlands,UEFA,390,21,16
Thibaut Courtois,Belgium,UEFA,551,20,14
Senne Lammens,Belgium,UEFA,19,3,2
Manuel Neuer,Germany,UEFA,390,10,5
Alexander Schlager,Austria,UEFA,360,22,13
Orjan Nyland,Norway,UEFA,480,24,16
Eirik Selvik,Norway,UEFA,90,9,5
Jacob Widell Zetterström,Sweden,UEFA,180,15,11
Karl-Johan Nordfeldt,Sweden,UEFA,180,9,3
Angus Gunn,Scotland,UEFA,270,12,8
Dominik Livakovic,Croatia,UEFA,360,17,10
Ugurcan Cakir,TÃ¼rkiye,UEFA,270,13,8
Matej Kovar,Czech Republic,UEFA,270,15,9
Nikola Vasilj,Bosnia & Herzegovina,UEFA,360,14,6
Dean Henderson,England,UEFA,90,9,5
Emiliano MartÃ­nez,Argentina,Non-UEFA,810,28,20
Alisson Becker,Brazil,Non-UEFA,450,18,14
Fernando Muslera,Uruguay,Non-UEFA,225,8,4
Camilo Vargas,Colombia,Non-UEFA,480,7,6
Hernan Galindez,Ecuador,Non-UEFA,360,14,9
Orlando Gill,Paraguay,Non-UEFA,480,29,23
Julian Rangel,Mexico,Non-UEFA,438,11,8
Matt Freese,USA,Non-UEFA,360,13,8
Matt Turner,USA,Non-UEFA,90,3,0
Maxime Crepeau,Canada,Non-UEFA,450,12,6
Orlando Mosquera,Panama,Non-UEFA,270,11,7
Zion Suzuki,Japan,Non-UEFA,360,17,12
Kim Seung-Gyu,South Korea,Non-UEFA,270,12,9
Mohammed Al-Owais,Saudi Arabia,Non-UEFA,270,21,16
Alireza Beiranvand,Iran,Non-UEFA,270,18,15
Patrick Beach,Australia,Non-UEFA,389,17,14
Mahmud Abunada,Qatar,Non-UEFA,270,23,12
Akhror Nematov,Uzbekistan,Non-UEFA,180,13,5
Ulugbek Yusupov,Uzbekistan,Non-UEFA,90,4,1
Yassine Bounou,Morocco,Non-UEFA,570,21,15
Edouard Mendy,Senegal,Non-UEFA,153,14,8
Mamadou Diaw,Senegal,Non-UEFA,237,7,4
Ronwen Williams,South Africa,Non-UEFA,360,15,11
Mostafa Shobeir,Egypt,Non-UEFA,480,21,14
Aymen Dahmen,Tunisia,Non-UEFA,180,12,5
Chiheb Abdelmouhib,Tunisia,Non-UEFA,90,6,1
Lawrence Zigi,Ghana,Non-UEFA,135,9,8
Lionel Mpasi,DR Congo,Non-UEFA,360,19,14
Yahia Fofana,Ivory Coast,Non-UEFA,360,13,9
Lyes Zidane,Algeria,Non-UEFA,270,14,8
Oussama Benbot,Algeria,Non-UEFA,90,3,0
Eloy Room,CuraÃ§ao,Non-UEFA,270,29,20
Vozinha,Cape Verde,Non-UEFA,390,23,18
Johnny Placide,Haiti,Non-UEFA,270,19,11
Michael Crocombe,New Zealand,Non-UEFA,270,22,11
Yazid Abu Layla,Jordan,Non-UEFA,270,16,8
Ahmed Basil,Iraq,Non-UEFA,135,7,3
Jalal Hassan Hachim,Iraq,Non-UEFA,135,16,8
