Squad,MP (Matches Played),CrdY (Yellow Cards),CrdR (Red Cards),Fls (Fouls Committed),Fouls per Match,Stage
Algeria,4,3,0,29,7.25,Knockout
Argentina,8,15,1,113,14.125,Knockout
Australia,4,5,0,46,11.5,Knockout
Austria,4,5,0,47,11.75,Knockout
Belgium,6,6,1,78,13,Knockout
Bosnia and Herzegovina,4,7,1,60,15,Knockout
Brazil,5,8,0,51,10.2,Knockout
Cabo Verde,4,5,0,27,6.75,Knockout
Canada,5,11,0,72,14.4,Knockout
Colombia,5,8,0,70,14,Knockout
Congo DR,4,6,0,44,11,Knockout
Côte d'Ivoire,4,4,0,29,7.25,Knockout
Croatia,4,4,0,45,11.25,Knockout
Curaçao,3,7,0,32,10.6666666666667,Eliminated (Group Stage)
Czechia,3,1,0,37,12.3333333333333,Eliminated (Group Stage)
Ecuador,4,8,1,49,12.25,Knockout
Egypt,5,12,0,59,11.8,Knockout
England,8,8,1,81,10.125,Knockout
France,8,6,0,84,10.5,Knockout
Germany,4,3,0,51,12.75,Knockout
Ghana,4,6,0,56,14,Knockout
Haiti,3,7,0,55,18.3333333333333,Eliminated (Group Stage)
IR Iran,3,6,0,35,11.6666666666667,Eliminated (Group Stage)
Iraq,3,4,1,27,9,Eliminated (Group Stage)
Japan,4,4,0,55,13.75,Knockout
Jordan,3,4,0,31,10.3333333333333,Eliminated (Group Stage)
Korea Republic,3,4,0,25,8.33333333333333,Eliminated (Group Stage)
Mexico,5,4,1,58,11.6,Knockout
Morocco,6,7,0,74,12.3333333333333,Knockout
Netherlands,4,3,0,44,11,Knockout
New Zealand,3,4,0,32,10.6666666666667,Eliminated (Group Stage)
Norway,6,3,0,58,9.66666666666667,Knockout
Panama,3,5,0,46,15.3333333333333,Eliminated (Group Stage)
Paraguay,5,9,1,66,13.2,Knockout
Portugal,5,7,0,44,8.8,Knockout
Qatar,3,4,2,36,12,Eliminated (Group Stage)
Saudi Arabia,3,6,0,29,9.66666666666667,Eliminated (Group Stage)
Scotland,3,5,0,42,14,Eliminated (Group Stage)
Senegal,4,3,0,36,9,Knockout
South Africa,4,5,2,38,9.5,Knockout
Spain,8,6,0,101,12.625,Knockout
Sweden,4,5,0,43,10.75,Knockout
Switzerland,6,8,1,87,14.5,Knockout
Tunisia,3,1,0,27,9,Eliminated (Group Stage)
Türkiye,3,2,0,31,10.3333333333333,Eliminated (Group Stage)
Uruguay,3,5,1,31,10.3333333333333,Eliminated (Group Stage)
USA,5,7,1,56,11.2,Knockout
Uzbekistan,3,4,0,45,15,Eliminated (Group Stage)
