Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999,crosses_per_90,is_mid
984,Pedro Vite,MF,Ecuador,24,2002,4.0,0,0,0,2,5,0,6,5,11,,,0,Matches,9c146b36,1.5,True
1019,Caleb Yirenkyi,MF,Ghana,20,2006,2.9,2,0,0,7,3,0,1,3,1,,,0,Matches,d40ce7b0,0.3448275862068966,True
654,Keito Nakamura,MF,Japan,25,2000,3.4,0,0,0,3,1,1,9,1,3,,,0,Matches,d97af612,2.6470588235294117,True
829,Ibrahim Sangaré,MF,Côte d'Ivoire,28,1997,3.0,0,0,0,2,4,0,0,6,5,,,0,Matches,bced0375,0.0,True
91,Yasin Ayari,MF,Sweden,22,2003,3.8,1,0,0,4,8,0,19,3,4,,,0,Matches,f173303a,5.0,True
541,José Luis Rodríguez,MFFW,Panama,27,1998,2.6,0,0,0,4,2,0,17,0,3,,,0,Matches,b333b014,6.538461538461538,True
847,Nicolas Seiwald,MF,Austria,25,2001,3.5,0,0,0,1,1,0,3,4,5,,,0,Matches,28c6e925,0.8571428571428571,True
307,Bruno Fernandes,MF,Portugal,31,1994,4.7,0,0,0,2,8,1,22,0,5,,,0,Matches,507c7bdf,4.680851063829787,True
985,Vitinha,MF,Portugal,26,2000,4.2,0,0,0,4,5,0,1,2,0,,,0,Matches,3b029691,0.23809523809523808,True
659,Dan Ndoye,MFFW,Switzerland,25,2000,4.5,0,0,0,5,16,4,11,4,5,,,0,Matches,8e697a8f,2.4444444444444446,True
757,Adrien Rabiot,MF,France,31,1995,6.5,1,0,0,13,4,1,2,11,7,,,0,Matches,8794e251,0.3076923076923077,True
125,Anis Ben Slimane,MFFW,Tunisia,25,2001,2.7,0,0,0,0,0,2,6,2,2,,,0,Matches,9ade9ce1,2.222222222222222,True
886,Djibril Sow,MF,Switzerland,29,1997,2.8,0,0,0,5,4,0,3,2,1,,,0,Matches,4c6facae,1.0714285714285714,True
69,Nilson Angulo,MF,Ecuador,22,2003,2.4,0,0,0,4,3,0,5,2,1,,,0,Matches,a9b9d89c,2.0833333333333335,True
290,Stephen Eustáquio,MF,Canada,29,1996,4.4,0,0,0,2,7,0,45,3,5,,,0,Matches,577efaec,10.227272727272727,True
828,Leroy Sané,MF,Germany,30,1996,3.6,0,0,0,3,2,1,10,2,3,,,0,Matches,2b114be3,2.7777777777777777,True
814,Noah Sadiki,MF,Congo DR,21,2004,2.9,2,0,0,2,3,0,1,2,4,,,0,Matches,645481cc,0.3448275862068966,True
98,Leandro Bacuna,MF,Curaçao,34,1991,3.0,1,0,0,3,3,0,4,0,3,,,0,Matches,9dc69d38,1.3333333333333333,True
727,Ivan Perišić,MFDF,Croatia,37,1989,4.0,2,0,0,4,1,0,20,4,4,,,0,Matches,6fe90922,5.0,True
278,Anthony Elanga,MFFW,Sweden,24,2002,2.4,0,0,0,0,7,1,12,2,0,,,0,Matches,2fba6108,5.0,True
871,Kwasi Sibo,MF,Ghana,27,1998,2.8,0,0,0,7,1,0,0,2,0,,,0,Matches,be834ad7,0.0,True
671,Felix Nmecha,MF,Germany,25,2000,3.0,0,0,0,3,3,0,2,2,9,,,0,Matches,091c86e2,0.6666666666666666,True
345,Diego Gómez,MF,Paraguay,23,2003,3.4,2,0,0,5,1,0,1,9,6,,,0,Matches,916728da,0.29411764705882354,True
112,Ibrahim Bayesh,MFFW,Iraq,26,2000,2.6,0,0,0,3,5,0,4,1,4,,,0,Matches,2f2003ba,1.5384615384615383,True
499,Manu Koné,MF,France,25,2001,4.3,1,0,0,6,7,0,1,3,5,,,0,Matches,86574238,0.23255813953488372,True
693,Dani Olmo,MF,Spain,28,1998,5.5,0,0,0,6,10,0,1,1,5,,,0,Matches,ae44e8e2,0.18181818181818182,True
768,Marcus Rashford,MF,England,28,1997,2.5,0,0,0,5,1,1,17,0,2,,,0,Matches,a1d5bd30,6.8,True
95,Neil El Aynaoui,MF,Morocco,24,2001,6.2,0,0,0,15,7,0,0,8,9,,,0,Matches,17e1261b,0.0,True
172,Lamine Camara,MF,Senegal,22,2004,2.8,1,0,0,5,3,0,7,2,1,,,0,Matches,19c2ffa4,2.5,True
952,Leandro Trossard,MFFW,Belgium,31,1994,5.6,0,0,0,4,8,1,7,4,1,,,0,Matches,38ceb24a,1.25,True
523,Issa Laye,MFDF,Qatar,28,1997,3.0,0,0,0,0,3,0,0,1,1,,,0,Matches,c078667a,0.0,True
234,Kevin De Bruyne,MF,Belgium,34,1991,4.2,1,0,0,2,4,0,21,0,2,,,0,Matches,e46012d4,5.0,True
546,Alexis Mac Allister,MF,Argentina,27,1998,8.3,1,0,0,9,12,0,2,9,12,,,0,Matches,83d074ff,0.24096385542168672,True
905,Ivan Šunjić,MF,Bosnia–Herz,29,1996,2.2,0,0,0,7,0,0,1,0,3,,,0,Matches,e18098de,0.45454545454545453,True
599,Scott McTominay,MF,Scotland,29,1996,3.0,0,0,0,3,0,0,0,0,2,,,0,Matches,d93c2511,0.0,True
614,Connor Metcalfe,MF,Australia,26,1999,3.5,0,0,0,1,0,0,8,2,5,,,0,Matches,73ce4d7d,2.2857142857142856,True
320,Remo Freuler,MF,Switzerland,34,1992,6.6,0,0,0,8,3,1,5,8,5,,,0,Matches,98d2c2c4,0.7575757575757576,True
640,Akmal Mozgovoy,MF,Uzbekistan,27,1999,2.4,0,0,0,0,3,0,0,2,0,,,0,Matches,114cb95b,0.0,True
573,Cristian Martínez,MFFW,Panama,29,1997,2.7,0,0,0,5,5,1,12,1,4,,,0,Matches,fdb15495,4.444444444444444,True
463,Elijah Just,MF,New Zealand,26,2000,2.9,1,0,0,3,2,0,2,2,3,,,0,Matches,0c295d6e,0.6896551724137931,True
459,Frenkie de Jong,MF,Netherlands,29,1997,3.6,0,0,0,6,6,0,1,8,7,,,0,Matches,1bacc518,0.2777777777777778,True
859,Paik Seung-ho,MF,Korea Republic,29,1997,2.3,1,0,0,1,2,0,1,1,0,,,0,Matches,1e1bea09,0.4347826086956522,True
566,Johan Manzambi,MFFW,Switzerland,20,2005,2.2,0,0,0,3,3,1,3,0,0,,,0,Matches,8fcf0e12,1.3636363636363635,True
433,Jackson Irvine,MF,Australia,33,1993,2.5,1,0,0,3,3,0,2,1,1,,,0,Matches,4637747c,0.8,True
362,Idrissa Gueye,MF,Senegal,36,1989,4.0,0,0,0,2,2,0,1,2,4,,,0,Matches,72c812f3,0.25,True
452,Danley Jean-Jacques,MF,Haiti,26,2000,2.9,1,0,0,5,3,0,1,3,6,,,0,Matches,59fcbd6d,0.3448275862068966,True
649,Jamal Musiala,MF,Germany,23,2003,3.0,1,0,0,5,11,0,5,1,5,,,0,Matches,2c0558b8,1.6666666666666667,True
1016,John Yeboah,MF,Ecuador,25,2000,3.5,0,0,0,0,4,0,11,3,3,,,0,Matches,8dfdc6c3,3.142857142857143,True
364,Bruno Guimarães,MF,Brazil,28,1997,4.6,0,0,0,4,7,0,16,2,6,,,0,Matches,82518f62,3.4782608695652177,True
771,Noor Al Rawabdeh,MF,Jordan,29,1997,3.0,0,0,0,1,0,0,0,2,7,,,0,Matches,3bb06c86,0.0,True
