Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999,crosses_per_90,is_mid
6,Ali Abdi,DF,Tunisia,32,1993,3.0,0,0,0,4,1,0,4,4,8,,,0,Matches,ad7cdb35,1.3333333333333333,False
7,Saud Abdulhamid,DF,Saudi Arabia,26,1999,3.0,1,0,0,4,2,0,5,2,9,,,0,Matches,caa254e4,1.6666666666666667,False
8,Abdulla Abdullaev,DF,Uzbekistan,28,1997,2.0,0,0,0,5,1,0,0,3,2,,,0,Matches,03053fbf,0.0,False
10,Husam Abu Dahab,DF,Jordan,26,2000,2.0,1,0,0,2,1,0,0,0,3,,,0,Matches,300aaeb6,0.0,False
12,Mohannad Abu Taha,DF,Jordan,23,2003,2.9,1,0,0,2,1,0,5,6,2,,,0,Matches,5c4bac6c,1.7241379310344829,False
19,Tyler Adams,MF,USA,27,1999,3.8,1,0,0,5,6,0,0,8,5,,,0,Matches,2b09d998,0.0,True
20,Ricardo Adé,DF,Haiti,36,1990,3.0,0,0,0,6,4,0,1,5,2,,,0,Matches,a9ee5e81,0.3333333333333333,False
23,Jonas Adjetey,DF,Ghana,22,2003,2.5,0,0,0,1,0,0,0,1,3,,,0,Matches,bdbf78cd,0.0,False
25,Akram Afif,FWMF,Qatar,29,1996,2.6,0,0,0,0,4,2,11,0,1,,,0,Matches,fd53d9e7,4.230769230769231,False
26,Emmanuel Agbadou,DF,Côte d'Ivoire,28,1997,3.0,0,0,0,0,0,0,0,4,6,,,0,Matches,75f1ed80,0.0,False
28,Ali Ahmed,MF,Canada,25,2000,2.6,0,0,0,1,5,0,13,3,2,,,0,Matches,540a5be1,5.0,True
30,Rayan Aït-Nouri,DF,Algeria,25,2001,3.2,0,0,0,6,4,0,8,5,13,,,0,Matches,9b398aea,2.5,False
31,Kristoffer Ajer,DF,Norway,28,1998,5.3,1,0,0,2,1,0,1,4,8,,,0,Matches,a8c0acb7,0.18867924528301888,False
32,Manuel Akanji,DF,Switzerland,30,1995,6.7,0,0,0,4,4,0,0,6,9,,,0,Matches,89ac64a6,0.0,False
38,David Alaba,DF,Austria,33,1992,3.1,0,0,0,2,0,0,1,4,1,,,0,Matches,05439de2,0.3225806451612903,False
39,Kerim Alajbegović,MF,Bosnia–Herz,18,2007,3.1,0,0,0,4,6,1,15,2,0,,,0,Matches,f3d9291e,4.838709677419355,True
41,Omar Alderete,DF,Paraguay,29,1996,3.6,0,0,0,2,3,0,0,2,0,,,0,Matches,bb08bce9,0.0,False
49,Thiago Almada,MF,Argentina,25,2001,2.7,1,0,0,2,2,2,1,0,4,,,0,Matches,27f33438,0.37037037037037035,True
50,Miguel Almirón,MFFW,Paraguay,32,1994,3.1,1,1,0,2,7,0,4,3,7,,,0,Matches,862a1c15,1.2903225806451613,True
51,Júnior Alonso,DF,Paraguay,33,1993,4.3,1,0,0,3,3,1,2,4,9,,,0,Matches,b18a3023,0.46511627906976744,False
52,Barış Alper Yılmaz,MFFW,Türkiye,26,2000,2.0,0,0,0,4,1,2,15,0,0,,,0,Matches,414b2ce4,7.5,True
53,Roberto Alvarado,FWMF,Mexico,27,1998,4.8,0,0,0,3,5,1,36,2,3,,,0,Matches,ff871e14,7.5,False
54,Edson Álvarez,MFDF,Mexico,28,1997,2.7,1,0,0,5,2,0,1,3,6,,,0,Matches,8b3ab7ad,0.37037037037037035,True
55,Julián Álvarez,FW,Argentina,26,2000,6.7,0,0,0,11,4,2,2,3,4,,,0,Matches,15ab5a2b,0.29850746268656714,False
58,Michael Amir Murillo,DFMF,Panama,30,1996,3.0,0,0,0,1,7,1,8,1,3,,,0,Matches,349cae8f,2.6666666666666665,False
60,Amir Al Ammari,MF,Iraq,28,1997,2.7,2,0,0,3,0,0,8,2,1,,,0,Matches,9f65be73,2.962962962962963,True
64,Abdulelah Al-Amri,DF,Saudi Arabia,29,1997,2.7,1,0,0,1,0,0,1,4,2,,,0,Matches,fd0affe3,0.37037037037037035,False
66,Elliot Anderson,MF,England,23,2002,7.0,1,0,0,9,13,0,8,8,18,,,0,Matches,de31038e,1.1428571428571428,True
67,Andrés Andrade Cedeño,DF,Panama,27,1998,3.0,1,0,0,4,0,0,8,3,3,,,0,Matches,6ea23758,2.6666666666666665,False
69,Nilson Angulo,MF,Ecuador,22,2003,2.4,0,0,0,4,3,0,5,2,1,,,0,Matches,a9b9d89c,2.0833333333333335,True
73,Oswin Appollis,MFFW,South Africa,24,2001,2.8,0,0,0,1,2,0,8,1,3,,,0,Matches,e8933eb0,2.857142857142857,True
74,Yazan Al-Arab,DF,Jordan,30,1996,3.0,1,0,0,4,0,0,0,11,1,,,1,Matches,32878a09,0.0,False
75,Maxi Araújo,FWMF,Uruguay,26,2000,2.8,0,0,0,2,7,6,18,0,0,,,0,Matches,f9ab3f4a,6.428571428571429,False
81,Jhon Arias,MF,Colombia,28,1997,4.2,1,0,0,5,2,0,5,2,9,,,0,Matches,86d96066,1.1904761904761905,True
85,Emam Ashour,MF,Egypt,28,1998,4.0,0,0,0,2,13,0,4,4,2,,,0,Matches,31b7d437,1.0,True
86,Rustam Ashurmatov,DF,Uzbekistan,29,1996,2.8,0,0,0,1,0,0,0,7,2,,,0,Matches,a0ecd397,0.0,False
88,Marwan Attia,MF,Egypt,27,1998,4.8,2,0,0,8,1,0,11,3,3,,,0,Matches,1ea3d7ec,2.291666666666667,True
89,Fredrik Aursnes,MFDF,Norway,30,1995,3.4,0,0,0,5,3,0,5,1,8,,,0,Matches,f0677ed7,1.4705882352941178,True
91,Yasin Ayari,MF,Sweden,22,2003,3.8,1,0,0,4,8,0,19,3,4,,,0,Matches,f173303a,5.0,True
93,Jordan Ayew,FW,Ghana,34,1991,3.3,0,0,0,7,7,1,10,1,3,,,0,Matches,da052c14,3.0303030303030303,False
95,Neil El Aynaoui,MF,Morocco,24,2001,6.2,0,0,0,15,7,0,0,8,9,,,0,Matches,17e1261b,0.0,True
97,Juninho Bacuna,MF,Curaçao,28,1997,2.8,2,0,0,6,3,0,5,5,4,,,0,Matches,aaf1bf05,1.7857142857142858,True
98,Leandro Bacuna,MF,Curaçao,34,1991,3.0,1,0,0,3,3,0,4,0,3,,,0,Matches,9dc69d38,1.3333333333333333,True
99,Álex Baena,MFFW,Spain,24,2001,5.3,1,0,0,13,7,2,41,2,5,,,0,Matches,518f2234,7.735849056603774,True
100,Esmir Bajraktarevic,MF,Bosnia–Herz,21,2005,2.6,0,0,0,1,2,0,8,3,0,,,0,Matches,dff24174,3.0769230769230766,True
101,Cédric Bakambu,FW,Congo DR,35,1991,2.1,0,0,0,2,1,4,1,0,0,,,0,Matches,0af4dcf0,0.47619047619047616,False
103,Folarin Balogun,FW,USA,24,2001,3.5,1,1,0,3,8,3,0,1,0,,,0,Matches,31822f8c,0.0,False
105,Yoel Bárcenas,MF,Panama,32,1993,2.8,1,0,0,3,3,0,7,2,0,,,0,Matches,b39849eb,2.5,True
107,Bradley Barcola,MF,France,23,2002,4.3,1,0,0,5,1,1,3,1,4,,,0,Matches,a0d55a09,0.6976744186046512,True
108,Abdülkerim Bardakcı,DF,Türkiye,31,1994,2.9,0,0,0,1,3,0,7,2,5,,,0,Matches,5d9cff53,2.413793103448276,False
109,Ivan Bašić,MF,Bosnia–Herz,24,2002,2.0,0,0,0,2,3,0,12,3,1,,,0,Matches,9b0a0d51,6.0,True
111,Martin Baturina,MFFW,Croatia,23,2003,3.6,0,0,0,1,14,0,8,1,2,,,0,Matches,d1eda5f0,2.2222222222222223,True
112,Ibrahim Bayesh,MFFW,Iraq,26,2000,2.6,0,0,0,3,5,0,4,1,4,,,0,Matches,2f2003ba,1.5384615384615383,True
116,Aziz Behich,MF,Australia,35,1990,2.4,0,0,0,1,4,0,6,1,4,,,0,Matches,b6867b96,2.5,True
120,Rafik Belghali,DF,Algeria,24,2002,3.7,0,0,0,4,2,0,4,1,3,,,0,Matches,0abcb968,1.081081081081081,False
121,Joe Bell,MF,New Zealand,27,1999,2.7,0,0,0,3,0,0,0,4,2,,,0,Matches,7825847e,0.0,True
122,Jean-Ricner Bellegarde,MF,Haiti,27,1998,2.9,1,0,0,4,5,0,10,3,2,,,0,Matches,10f0fdd3,3.4482758620689657,True
123,Jude Bellingham,MF,England,22,2003,6.8,1,0,0,9,17,1,8,3,10,,,0,Matches,57d88cf9,1.1764705882352942,True
125,Anis Ben Slimane,MFFW,Tunisia,25,2001,2.7,0,0,0,0,0,2,6,2,2,,,0,Matches,9ade9ce1,2.222222222222222,True
129,Ramy Bensebaini,DF,Algeria,31,1995,4.0,0,0,0,1,5,0,0,7,6,,,0,Matches,378825c7,0.0,False
130,Nabil Bentaleb,MF,Algeria,31,1994,3.2,0,0,0,2,3,0,3,3,4,,,0,Matches,3189f61a,0.9375,True
131,Rodrigo Bentancur,MF,Uruguay,28,1997,3.0,1,0,0,7,5,0,4,7,5,,,0,Matches,3b8674e6,1.3333333333333333,True
132,Patrick Berg,MF,Norway,28,1997,4.9,1,0,0,4,2,0,11,2,7,,,0,Matches,e4114f5d,2.2448979591836733,True
133,Sander Berge,MF,Norway,28,1998,5.3,0,0,0,6,2,0,1,9,4,,,0,Matches,d0b6129f,0.18867924528301888,True
134,Lucas Bergvall,MF,Sweden,20,2006,2.0,1,0,0,7,4,0,3,2,2,,,0,Matches,a109e5c8,1.5,True
135,Sebastian Berhalter,MF,USA,25,2001,2.1,1,0,0,5,6,0,11,3,0,,,0,Matches,f33ee427,5.238095238095238,True
136,Alexander Bernhardsson,MF,Sweden,27,1998,2.4,0,0,0,2,4,0,3,2,2,,,0,Matches,dea1d183,1.25,True
138,César Blackman,MFDF,Panama,28,1998,2.0,1,0,0,2,2,1,0,1,0,,,0,Matches,c2b11050,0.0,True
139,Damián Bobadilla,MF,Paraguay,24,2001,2.1,0,0,0,1,1,0,1,5,3,,,1,Matches,ad7d6437,0.47619047619047616,True
140,Oscar Bobb,FW,Norway,22,2003,2.5,0,0,0,1,4,0,2,3,3,,,0,Matches,eed2427e,0.8,False
141,Moïse Bombito,DF,Canada,26,2000,2.1,0,0,0,2,0,0,0,1,0,,,0,Matches,c2f23fc8,0.0,False
143,Ange-Yoan Bonny,FW,Côte d'Ivoire,22,2003,2.6,0,0,0,1,3,1,1,1,2,,,0,Matches,64629ba4,0.3846153846153846,False
144,Jordy Bos,MFDF,Australia,23,2002,3.4,1,0,0,4,4,0,8,3,3,,,0,Matches,8070a9fd,2.3529411764705883,True
145,Ayyoub Bouaddi,MF,Morocco,18,2007,4.2,0,0,0,3,6,0,0,1,3,,,0,Matches,8006228f,0.0,True
151,Michael Boxall,DF,New Zealand,37,1988,2.3,0,0,0,2,2,0,1,2,1,,,0,Matches,6bfa0d3a,0.4347826086956522,False
153,Joshua Brenet,DF,Curaçao,32,1994,2.0,0,0,0,0,1,1,0,1,4,,,0,Matches,2b5527c4,0.0,False
154,Brian Brobbey,FW,Netherlands,24,2002,2.5,0,0,0,4,3,2,1,0,1,,,0,Matches,4c184730,0.4,False
156,Nathaniel Brown,DF,Germany,22,2003,3.1,0,0,0,4,1,0,17,2,6,,,0,Matches,abc79c47,5.483870967741935,False
157,Tajon Buchanan,MF,Canada,27,1999,4.2,0,0,0,5,8,2,16,1,5,,,0,Matches,3aca6420,3.8095238095238093,True
159,Firas Al-Buraikan,FW,Saudi Arabia,26,2000,2.6,1,0,0,2,3,0,0,1,0,,,0,Matches,ac717a23,0.0,False
